# Simple Text Format
# Sampling Rate (Hz):= 100.00
# Resolution:= 0
# Units:= m/s^2
# Labels:= acc_x	acc_y	acc_z
0.15869	-0.88037	0.14307
0.31592	-0.82812	0.07715
0.26172	-0.80176	0.12061
0.2627	-0.77051	0.08057
0.27148	-0.76807	0.05518
0.24365	-0.77588	0.11621
0.22461	-0.77344	0.11768
0.2915	-0.77734	0.10205
0.26904	-0.67334	0.08838
0.17578	-0.73437	0.08203
0.31982	-0.62207	0.04297
0.24707	-0.6626	0.17236
0.31445	-0.73682	0.14111
0.31885	-0.78662	0.14893
0.28613	-0.7876	0.16016
0.33643	-0.82227	0.17871
0.31543	-0.91309	0.18457
0.34082	-0.87988	0.1709
0.3877	-0.88281	0.2041
0.34473	-0.92871	0.18213
0.35742	-0.93164	0.17236
0.42529	-0.96484	0.15332
0.40625	-1.05518	0.20898
0.44336	-1.11475	0.25439
0.43896	-1.17578	0.27148
0.4585	-1.19189	0.29053
0.48096	-1.12158	0.2749
0.48437	-1.0542	0.27148
0.49707	-0.97852	0.26807
0.49951	-0.91748	0.27051
0.47217	-0.854	0.26318
0.4668	-0.80371	0.2334
0.44678	-0.79785	0.23096
0.41211	-0.81641	0.24316
0.39453	-0.82959	0.26416
0.37646	-0.83691	0.271
0.35889	-0.89111	0.2749
0.35547	-0.92187	0.29834
0.34912	-0.94629	0.31885
0.34229	-0.95703	0.34277
0.33887	-0.93066	0.34668
0.3374	-0.90967	0.33447
0.32715	-0.87744	0.31494
0.30859	-0.83447	0.31152
0.30469	-0.79785	0.2832
0.3125	-0.78613	0.26904
0.30762	-0.78955	0.2627
0.32227	-0.7749	0.26025
0.31934	-0.78564	0.25293
0.33008	-0.80811	0.26318
0.34619	-0.80908	0.27344
0.3457	-0.81592	0.271
0.34375	-0.84619	0.26807
0.35742	-0.8501	0.28516
0.34668	-0.86523	0.28027
0.35352	-0.87354	0.25684
0.35352	-0.89014	0.27734
0.35205	-0.8916	0.27783
0.35449	-0.896	0.26367
0.34961	-0.89355	0.25439
0.35059	-0.90918	0.25586
0.36035	-0.92236	0.25244
0.3457	-0.90576	0.24707
0.36719	-0.99658	0.24951
0.36035	-0.98486	0.24707
0.36035	-1.01123	0.25293
0.36865	-1.05811	0.23828
0.34717	-1.0332	0.24854
0.36572	-1.10693	0.25391
0.37939	-1.05664	0.25342
0.38086	-1.04395	0.24512
0.40527	-1.021	0.24561
0.39502	-0.99072	0.22314
0.38086	-0.99902	0.18994
0.37549	-1.05518	0.19531
0.40723	-1.11182	0.20947
0.42578	-1.1792	0.23975
0.43896	-1.18115	0.24805
0.46826	-1.21582	0.29443
0.47266	-1.19043	0.31689
0.49854	-1.1582	0.32471
0.51953	-1.12891	0.29004
0.4834	-1.10742	0.24658
0.47754	-1.07764	0.21973
0.44775	-1.0542	0.18311
0.41504	-1.02344	0.18018
0.38281	-1.02051	0.17187
0.35596	-1.00977	0.18994
